Location,Area code,Largest cities covered
,320,St Cloud
,507,Rochester
,612,Minneapolis
,651,St. Paul
,763,"Brooklyn Park, Coon Rapids, Maple Grove, Plymouth"
,952,"Bloomington, Burnsville, Minnetonka"
Missouri,314,"Florissant, St. Louis"
,417,Springfield
,573,Columbia
,636,"St. Charles, St. Peters"
,660,"Clinton, Warrensburg"
,816,"Independence, Kansas City, Lee's Summit, St. Joseph"
Mississippi,228,"Biloxi, Gulfport"
,601/769*,Jackson
,662,"Greenville, Tupelo"
Montana,406,"Billings, Great Falls, Missoula"
Montserrat,664,"Brades, Plymouth"
Nebraska,308,"North Platte, Scottsbluff"
,402/531*,"Lincoln, Omaha"
Nevada,702/725*,"Henderson, Las Vegas, Paradise, Spring Valley, Sunrise Manor"
,775,"Carson City, Reno, Sparks"
New Hampshire,603,"Manchester, Nashua"
New Jersey,201/551*,"Bayonne, Jersey City, Union City"
,609/640*,Trenton
,732/848*,"Brick Township, Edison, Toms River"
,856,"Camden, Vineland"
,908,Elizabeth
,973/862*,"Clifton, East Orange, Irvington, Newark, Passaic, Paterson, Wayne"
New Mexico,505,"Albuquerque, Farmington, Gallup, Santa Fe"
,575,"Alamogordo, Las Cruces, Rio Rancho"
New York,212/646/ 917/332*,New York City - Manhattan area
,315/680*,"Syracuse, Utica"
,516,Hempstead
,518/838*,"Albany, Schenectady"
,585,Rochester
,607,"Endicott, Ithaca"
,631/934*,"Babylon, Brentwood, Brookhaven, Southampton"
,716,"Buffalo, Cheektowaga, Niagara Falls, Tonawanda"
,718/347/ 917/929*,New York City
,845,"Cornwall, Montgomery, Woodstock"
,914,"Mount Vernon, New Rochelle, White Plains, Yonkers"
North Carolina,252,"Greenville, Rocky Mount"
,336/743*,"Greensboro, High Point, Winston-Salem"
,704/980*,"Charlotte, Concord, Gastonia"
,828,Asheville
,910,"Fayetteville, Jacksonville, Wilmington"
,919/984*,"Cary, Durham, Raleigh"
North Dakota,701,"Bismarck, Fargo"
Northern Mariana Islands,670,Saipan
Ohio,216,"Cleveland, Euclid, Lakewood, Parma"
,330/234*,"Akron, Canton, Youngstown"
,419/567*,"Sandusky, Toledo"
,440,"Elyria, Lorain, Mentor"
,513,"Cincinnati, Hamilton"
,614/380*,Columbus
,740/220*,"Chillicothe, Zanesville"
,937/326*,"Dayton, Kettering, Springfield"
Oklahoma,405,"Midwest City, Norman, Oklahoma City"
,580,Lawton
